name;description;price;image_url
Κιμάς Χοιρινός ΣΚΛΑΒΕΝΙΤΗΣ Άπαχος Ολλανδίας 500g;Kιμάς από άπαχο εκλεκτό κρέας χοιρινού. Μπορεί να χρησιμοποιηθεί για γεύματα χαμηλών θερμίδων.;3,00 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1467641/1.jpg
Τηγανιά Χοιρινή ΣΚΛΑΒΕΝΙΤΗΣ Ολλανδίας 700g;Τρυφερό κρέας από εκλεκτά χοιρινά, κομμένο σε κύβους. Ιδανικό για μπεκρή μεζέ ή για οποιαδήποτε συνταγή τηγανιάς με χοιρινό κρέας.;5,30 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1467128/1.jpg
Λαιμός Χοιρινός ΣΚΛΑΒΕΝΙΤΗΣ με οστό Ολλανδίας;Κομμάτι κρέατος από εκλεκτά χοιρινά, κομμένο σε μπριζόλες μαζί με το οστό. Κρέας πολύ μαλακό και πολύ γευστικό. Ιδανικό κομμάτι για ψήσιμο σε ψησταριά, σχάρα και φούρνο.;6,77 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1252963/1.jpg
Μπριζόλα Χοιρινή ΣΚΛΑΒΕΝΙΤΗΣ με οστό Ολλανδίας;Κομμάτι κρέατος από εκλεκτά χοιρινά. Ιδανική για ψήσιμο σε ψησταριά, σχάρα, φούρνο ή σε αντικολλητικό τηγάνι. Μαρινάρισμα με ποικίλες μαρινάδες (από κρασί/μυρωδικά/λαχανικά), και στη συνέχεια μαγειρεμένη σε φούρνο ή τηγάνι.;4,86 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1252962/1.jpg
Πανσέτα Χοιρινή ΣΚΛΑΒΕΝΙΤΗΣ με οστό Ολλανδίας;Κομμάτι κρέατος από τα κοιλιακά τοιχώματα του χοίρου, από εκλεκτά χοιρινά.  Κομμένη σε 'μπριζολάκια' μαζί με το οστό,  αποτελεί έναν εκλεκτό μεζέ για ψήσιμο σε ψησταριά, σχάρα, γκριλ ή σε αντικολλητικό τηγάνι.;3,90 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1252971/1.jpg
Μπούτι Χοιρινό ΣΚΛΑΒΕΝΙΤΗΣ με οστό Ολλανδίας;Κομμάτι από εκλεκτά χοιρινά, με χαμηλή περιεκτικότητα σε λίπος, ιδανικό για ψητό στο φούρνο και για ψητό της κατσαρόλας, κοκκινιστό και λεμονάτο.;5,52 €/συσκ.;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1252965/1.jpg
Φιλέτο Χοιρινό Ολλανδίας;Κομμάτι από εκλεκτά χοιρινά, με χαμηλή περιεκτικότητα σε λίπος, ιδανικό για ψητό στο φούρνο και για ψητό της κατσαρόλας, κοκκινιστό και λεμονάτο.;5,40 €/0,4 κιλό;https://s1.sklavenitis.gr/images/ProductDetail/40/files/ProductMedia/Products/1454391/1.jpg
ΜΑΡΑΤΑ Κεφίρ με γεύση Φράουλας 500ml;"Ρόφημα γάλακτος με καλλιέργεια κεφίρ και γεύση φράουλας, με σάκχαρα και γλυκαντικά.
 Φυσική πηγή ασβεστίου και βιταμίνης Β12. Υψηλή περιεκτικότητα σε πρωτεΐνες.";1,00 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1633638/1.jpg
ΜΑΡΑΤΑ Κεφίρ 500ml;"Κεφίρ με 1,5% λιπαρά.
 Φυσική πηγή ασβεστίου και βιταμίνης Β12. Υψηλή περιεκτικότητα σε πρωτεΐνες.";1,00 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1633637/1.jpg
ΟΛΥΜΠΟΣ Πνοή Γάλα Υψηλής Παστερίωσης με Βιταμίνη D 1,5% 1lt;"Εμπλουτισμένο αγελαδινό γάλα 1,5% λιπαρά με βιταμίνη D.
 Μακράς διάρκειας (UHT), ομογενοποιημένο, ημιαποβουτυρωμένο.";2,30 €/τεμ.;https://s1.sklavenitis.gr/images/ProductDetail/files/ProductMedia/Products/1650197/1.jpeg
